<Trait>,Substrate,Region
Rstd,Unknown,Unknown
SM102,Fruit,Southern California
SM104,Fruit,Northern California
SM105,Almond,Northern California
SM106,Almond,Northern California
SM108,Almond,Northern California
SM109,Almond,Northern California
SM11,Fruit,Florida
SM122,Almond,Southern California
SM13,Fruit,Florida
SM14c,Dung,Southern California
SM18,Fruit,Florida
SM24,Soil,Europe
SM27,Soil,Middle East
SM28,Plant,Quebec
SM29,Strawberry,Florida
SM35,Strawberry,Florida
SM36,Strawberry,Florida
SM42,Strawberry,Southern California
SM43,Strawberry,Northern California
SM48,Strawberry,Northern California
SM49,Strawberry,Northern California
SM50,Strawberry,Northern California
SM52,Strawberry,Northern California
SM57,Strawberry,Northern California
SM66,Strawberry,Northern California
SM72,Strawberry,Northern California
SM74,Strawberry,Northern California
SM77,Strawberry,Northern California
SM81,Tuber,Northern California
SM84,Strawberry,Northern California
SM87,Strawberry,Northern California
SM9,Animal,Arizona
SM92,Strawberry,Northern California
SM97,Dung,Southern California
