Sample,Region,Host/Substrate
SM1,Unknown,Seed
SM10,Unknown,Unknown
SM100,Maryland,Unknown
SM101,SoCal,Pineapple
SM102,SoCal,Orange
SM103,SoCal,Dung
SM104,NorCal,Strawberry
SM105,NorCal,Almond Hull Rot
SM106,NorCal,Almond Hull Rot
SM107,NorCal,Almond Hull Rot
SM108,NorCal,Almond Hull Rot
SM109,NorCal,Almond Hull Rot
SM11,Florida,Compost
SM110,NorCal,Almond Hull Rot
SM111,SoCal,Almond Hull Rot
SM112,SoCal,Almond Hull Rot
SM113,NorCal,Almond Hull Rot
SM114,NorCal,Almond Hull Rot
SM115,NorCal,Almond Hull Rot
SM116,NorCal,Almond Hull Rot
SM117,NorCal,Almond Hull Rot
SM118,NorCal,Almond Hull Rot
SM119,SoCal,Strawberry
SM12,Unknown,Unknown
SM120,SoCal,Soil
SM121,SoCal,Soil
SM122,SoCal,Soil
SM123,NorCal,Almond Hull Rot
SM124,NorCal,Almond Hull Rot
SM125,NorCal,Almond Hull Rot
SM126,NorCal,Almond Hull Rot
SM127,NorCal,Almond Hull Rot
SM128,NorCal,Almond Hull Rot
SM129,Southerm California,Avocado
SM13,Florida,Strawberry
SM130,Southerm California,Strawberry
SM131,Southerm California,Strawberry
SM132,NorCal,Almond Hull Rot
SM133,NorCal,Almond Hull Rot
SM134,Florida,Strawberry
SM135,Southern California,Strawberry
SM136,NorCal,Soil
SM137,NorCal,Soil
SM138,NorCal,Soil
SM139,NorCal,Almond Hull Rot
SM14,SoCal,Dung
SM140,NorCal,Almond Hull Rot
SM141,NorCal,Almond Hull Rot
SM142,NorCal,Unknown
SM143,Southern California,Strawberry
SM144,Southern California,Strawberry
SM145,NorCal,Almond Hull Rot
SM146,NorCal,Almond Hull Rot
SM15,Unknown,Unknown
SM16,Florida,Unknown
SM17,Florida,Soil
SM18,Florida,Orange
SM19,SoCal,Strawberry
SM2,Unknown,Fruit
SM20,SoCal,Strawberry
SM21,SoutheastAsia,Unknown
SM22,SoutheastAsia,Ragi
SM23,South Africa,Strawberry
SM24,Europe,Forest Soil
SM25,Antarctica,Soil
SM26,SoutheastAsia,Forest Soil
SM27,Pakistan,Unknown
SM28,Canada,Tobacco Plants
SM29,Florida,Strawberry
SM3,Unknown,Seed
SM30,Florida,Strawberry
SM31,Florida,Strawberry
SM32,Florida,Strawberry
SM33,Florida,Strawberry
SM34,Florida,Strawberry
SM35,Florida,Strawberry
SM36,Florida,Strawberry
SM37,Florida,Strawberry
SM38,Florida,Strawberry
SM39,Florida,Strawberry
SM4,Unknown,Fruit
SM40,Unknown,Strawberry 
SM41,Unknown,Strawberry
SM42,SoCal,Strawberry 
SM43,NorCal,Strawberry 
SM44,NorCal,Strawberry
SM45,NorCal,Strawberry
SM46,NorCal,Strawberry
SM47,NorCal,Strawberry
SM48,NorCal,Strawberry
SM49,NorCal,Strawberry
SM5,Europe,Hibisicus Flower
SM50,NorCal,Strawberry
SM51,NorCal,Strawberry
SM52,NorCal,Strawberry
SM53,NorCal,Strawberry
SM54,NorCal,Strawberry
SM55,NorCal,Strawberry
SM56,NorCal,Strawberry
SM57,NorCal,Strawberry
SM58,NorCal,Strawberry
SM59,NorCal,Strawberry
SM6,Unknown,Fruit
SM60,NorCal,Strawberry
SM61,NorCal,Strawberry
SM62,NorCal,Strawberry
SM63,NorCal,Strawberry
SM64,NorCal,Strawberry
SM65,NorCal,Strawberry
SM66,NorCal,Strawberry
SM67,NorCal,Strawberry
SM68,NorCal,Strawberry
SM69,NorCal,Strawberry
SM7,Unknown,Seed
SM70,NorCal,Strawberry
SM71,NorCal,Strawberry
SM72,NorCal,Strawberry
SM73,NorCal,Strawberry
SM74,NorCal,Strawberry
SM75,NorCal,Strawberry
SM76,NorCal,Strawberry
SM77,NorCal,Strawberry
SM78,NorCal,Strawberry
SM79,NorCal,Strawberry
SM8,Unknown,Unknown
SM80,NorCal,Strawberry
SM81,SoCal,Sweet Potato
SM82,NorCal,Strawberry
SM83,NorCal,Strawberry
SM84,NorCal,Strawberry
SM85,NorCal,Ventura
SM86,NorCal,Strawberry
SM87,NorCal,Strawberry
SM88,NorCal,Strawberry
SM89,NorCal,Portolla
SM9,Arizona,Kangaroo Rat Cheek Pouch
SM90,NorCal,Strawberry
SM91,NorCal,Strawberry
SM92,NorCal,Strawberry
SM93,NorCal,Strawberry
SM94,NorCal,Strawberry
SM95,NorCal,Unknown
SM96,SoCal,Dung
SM97,SoCal,Dung
SM98,SoCal,Cactus Flower
SM99,SoCal,Tomato
