Sample,Region,Substrate
Ra_1799,Unknown,Unknown
Rn_1477,Unknown,Unknown
Rn_3372,Unknown,Unknown
Rr_A-16792,Unknown,Unknown
Rr_A-18059,Unknown,Unknown
Rs_1519,Unknown,Unknown
Rs_54333,Arizona,Animal
Rs_54667,Unknown,Unknown
Rs_66454,SouthAfrica,Strawberry
Rs_66455,Pakistan,Unknown
Rs_66456,SoutheastAsia,Unknown
Rs_66457,SoutheastAsia,Ragi
Rs_66458,SoutheastAsia,Soil
Rs_66459,Antartica,Soil
Rs_66460,Canada,Tobacco Plants
Rstd,Unknown,Unknown
SM10,Unknown,Unknown
SM100,Maryland,Unknown
SM102,SoCal,Orange
SM104,NorCal,Strawberry
SM108,NorCal,Almond Hull Rot
SM109,NorCal,Almond Hull Rot
SM11,Florida,Compost
SM112,SoCal,Almond Hull Rot
SM113,NorCal,Almond Hull Rot
SM117,NorCal,Almond Hull Rot
SM119,SoCal,Strawberry
SM12,Unknown,Unknown
SM129,Southerm California,Avocado
SM13,Florida,Strawberry
SM131,Southerm California,Strawberry
SM132,NorCal,Almond Hull Rot
SM133,NorCal,Almond Hull Rot
SM134,Florida,Strawberry
SM136,NorCal,Soil
SM137,NorCal,Soil
SM138,NorCal,Soil
SM139,NorCal,Almond Hull Rot
SM140,NorCal,Almond Hull Rot
SM141,NorCal,Almond Hull Rot
SM142,NorCal,Unknown
SM143,Southern California,Strawberry
SM144,Southern California,Strawberry
SM145,NorCal,Almond Hull Rot
SM146,NorCal,Almond Hull Rot
SM147,NorCal,Almond Hull Rot
SM148,NorCal,Almond Hull Rot
SM14c,SoCal,Dung
SM16,Florida,Unknown
SM17,Florida,Soil
SM18,Florida,Orange
SM19,SoCal,Strawberry
SM19,SoCal,Strawberry
SM20,SoCal,Strawberry
SM22,SoutheastAsia,Ragi
SM24,Europe,Forest Soil
SM25,Antarctica,Soil
SM27,Pakistan,Unknown
SM28,Canada,Tobacco Plants
SM28,Canada,Tobacco Plants
SM29,Florida,Strawberry
SM36,Florida,Strawberry
SM38,Florida,Strawberry
SM4,Unknown,Fruit
SM40,Unknown,Strawberry 
SM42,SoCal,Strawberry 
SM44,NorCal,Strawberry
SM48,NorCal,Strawberry
SM48,NorCal,Strawberry
SM49,NorCal,Strawberry
SM5,Europe,Hibisicus Flower
SM55,NorCal,Strawberry
SM61,NorCal,Strawberry
SM62,NorCal,Strawberry
SM63,NorCal,Strawberry
SM65_c,NorCal,Strawberry
SM66,NorCal,Strawberry
SM67,NorCal,Strawberry
SM69,NorCal,Strawberry
SM70,NorCal,Strawberry
SM72,NorCal,Strawberry
SM76,NorCal,Strawberry
SM78,NorCal,Strawberry
SM79,NorCal,Strawberry
SM84,NorCal,Strawberry
SM87,NorCal,Strawberry
SM9,Arizona,Kangaroo Rat Cheek Pouch
SM91,NorCal,Strawberry
SM92,NorCal,Strawberry
SM98,SoCal,Cactus Flower
